S.No,BP,AT,PM10,RH,PM2.5,WD,WS,NH3,CO,NO,NO2,NOx,SO2,Ozone,AQI,Label
2208,972.2104167,15.61583333,258.5388458,68.23291667,248.723918,131.4166667,0.567083333,54.08458333,3.0425,53.50666667,89.90375,91.41458333,34.5475,28.58333333,2.503493676,Unhealthy
2209,972.8479167,17.6175,421.40625,69.34333333,292.65625,187.4166667,0.316666667,43.71958333,3.88125,164.8496896,120.3333333,197.0676056,23.26208333,23.61375,1.269207373,Moderate
2210,971.9208333,20.91666667,244.8577475,47.97208333,69.6334585,271.1458333,1.090833333,29.69375,1.706666667,79.03291667,70.83666667,102.0975,14.11041667,47.04958333,2.34198778,Unhealthy
2211,972.3670833,23.54583333,182.8020833,32.80208333,64.65625,255.2916667,0.830833333,32.6491713,1.824583333,154.0901063,118.5265554,189.0442723,22.25916667,33.72041667,1.512205731,Moderate
2212,971.4029167,31.55541667,224.8020833,38.7825,70.44791667,190.0208333,0.832083333,37.02416667,2.333658514,58.505,72.03583333,85.94375,18.83,39.46458333,1.452652124,Moderate
2213,747.500126,34.1568604,158.6929254,58.86432937,81.579417,182.6772925,0.638175834,46.37347531,1.983130072,40.09645975,40.23492581,76.46965375,7.325499449,26.02191163,1.276456842,Moderate
2214,971.80375,37.95958333,333.4166667,53.68375,90.32291667,227.28125,1.067083333,37.39958333,2.359583333,66.79708333,55.86,83.89375,13.68833333,33.73366415,1.335161239,Moderate
2215,955.9667155,30.84802283,222.7046443,69.75322225,82.33716901,159.8972972,0.618064169,35.22557717,2.17756087,74.32521823,60.90739732,94.7854929,18.11891281,23.48704559,2.114233744,Moderate
2216,972.0995833,32.86208333,97.79166667,81.24166667,59.3125,111.0625,0.390833333,27.34541667,2.17756087,58.33041667,49.4625,73.85375,12.03916667,24.48541667,1.390957575,Moderate
2217,972.2991667,34.98791667,303.1956381,68.9675,105.1314197,243.75,0.424166667,34.34208333,2.17756087,104.0029167,66.70833333,120.2654167,21.21,24.53208333,1.485956883,Moderate
2218,973.1616667,27.125,300.2916667,55.81458333,116.84375,119.7604167,1.069583333,40.51791667,2.17756087,59.17375,98.19416667,100.4666667,15.00625,24.525,2.099695036,Moderate
2219,974.0708333,18.4375,454.4270833,78.63375,285.6041667,190.4479167,0.312083333,61.59,2.2975,131.849273,132.1975,170.795939,11.73666667,26.11791667,1.44047305,Moderate
2220,973.6295833,18.78083333,436.8645833,72.56,248.3020833,162.4375,0.365416667,61.04708333,2.272632065,154.5441695,139.40625,208.778439,19.8297489,31.9575,2.332219283,Unhealthy
2221,973.5866667,19.40708333,362.8854167,69.09916667,191.90625,152.1145833,0.48375,60.25,1.945335326,181.0156264,123.6229167,212.6938204,17.2325,31.17125,2.32430016,Unhealthy
2222,973.3675,19.76875,344.6666667,62.77541667,196.7708333,143.4791667,0.407083333,62.51083333,1.819583333,122.6658333,116.47125,161.4879167,30.11583333,30.96625,1.985797706,Moderate
2223,973.7220833,19.27291667,346.1041667,66.45083333,184.7604167,168.4270833,0.32,56.75333333,1.93375,201.8045833,126.2154167,233.6633333,17.88375,26.35916667,1.704362176,Moderate
2224,974.0570833,19.36541667,316.4375,67.86375,185.2604167,150.0833333,0.348333333,53.00375,1.824166667,142.4770833,116.9579167,178.4029167,21.30875,27.07916667,2.125993214,Moderate
2225,974.0304167,19.17208333,329.65625,72.29708333,190.4270833,216.4479167,0.42,53.33125,1.86,161.2290632,118.3558333,193.6750352,17.83875,27.04416667,1.582220526,Moderate
